x,y,z
8375.0,27125.0,-3.163501740000001
8625.0,27125.0,-0.36435318000000194
8875.0,27125.0,4.198249820000001
9125.0,27125.0,11.573499679999998
9375.0,27125.0,20.083999635
9625.0,27125.0,17.06949997
9875.0,27125.0,10.522499085
10125.0,27125.0,8.599998475
10375.0,27125.0,10.634000780000001
10625.0,27125.0,13.63999939
10875.0,27125.0,15.424001695000001
11125.0,27125.0,17.49550247
11375.0,27125.0,19.4185009
11625.0,27125.0,20.245500565
11875.0,27125.0,20.381002425000002
12125.0,27125.0,20.075000765
12375.0,27125.0,19.55050087
12625.0,27125.0,18.244499205
12875.0,27125.0,17.25699997
13125.0,27125.0,15.72049904
13375.0,27125.0,14.590000154999998
13625.0,27125.0,13.602399824999999
13875.0,27125.0,12.262449265
14125.0,27125.0,11.609449385000001
14375.0,27125.0,11.180049895
14625.0,27125.0,10.575698854999999
14875.0,27125.0,10.551649094999998
15125.0,27125.0,11.720500945000001
15375.0,27125.0,12.94795036
15625.0,27125.0,14.761600495
15875.0,27125.0,17.042798995000002
16125.0,27125.0,18.83900261
16375.0,27125.0,20.43359947
16625.0,27125.0,22.039800645
16875.0,27125.0,23.109049795
17125.0,27125.0,24.673749925
17375.0,27125.0,27.255450250000003
17625.0,27125.0,30.14375019
17875.0,27125.0,33.332748415
18125.0,27125.0,36.532900335
18375.0,27125.0,38.869600059999996
18625.0,27125.0,41.036848545
18875.0,27125.0,44.66270161
19125.0,27125.0,42.871899604999996
19375.0,27125.0,42.7169981
19625.0,27125.0,41.12705183
19875.0,27125.0,43.74390173
20125.0,27125.0,48.73645152
20375.0,27125.0,103.45999909
20625.0,27125.0,111.58999632
20875.0,27125.0,111.800003075
21125.0,27125.0,107.95999909
125.0,26875.0,179.57000731
375.0,26875.0,173.949996975
625.0,26875.0,160.02999878999998
875.0,26875.0,151.41000368
1125.0,26875.0,133.25
1375.0,26875.0,136.960006705
1625.0,26875.0,141.729995715
1875.0,26875.0,150.66000368
2125.0,26875.0,150.800003075
2375.0,26875.0,158.13999939500002
2625.0,26875.0,166.210006705
2875.0,26875.0,164.550003075
3125.0,26875.0,168.479995715
3375.0,26875.0,157.83999632
3625.0,26875.0,137.08999632
3875.0,26875.0,117.58999632
4125.0,26875.0,108.87000277499999
4375.0,26875.0,101.25
4625.0,26875.0,115.88999939499999
4875.0,26875.0,102.12000277499999
5125.0,26875.0,103.51999662
5375.0,26875.0,118.23000338
5625.0,26875.0,114.599998485
5875.0,26875.0,101.599998485
6125.0,26875.0,106.66000368
6375.0,26875.0,102.45999909
6625.0,26875.0,99.44000244
6875.0,26875.0,101.26999662
7125.0,26875.0,95.68000031
7375.0,26875.0,90.0
7625.0,26875.0,91.48000336
7875.0,26875.0,60.600901605000004
8125.0,26875.0,10.499702454999998
8375.0,26875.0,11.592449189999996
8625.0,26875.0,12.59419823
8875.0,26875.0,14.746000290000001
9125.0,26875.0,17.884498595
9375.0,26875.0,19.169498445
9625.0,26875.0,17.11049843
9875.0,26875.0,13.084499359999999
10125.0,26875.0,10.471498489999998
10375.0,26875.0,10.859500885
10625.0,26875.0,12.340000154999998
10875.0,26875.0,14.467998505
11125.0,26875.0,15.660001755
11375.0,26875.0,17.08449936
11625.0,26875.0,18.29249954
11875.0,26875.0,18.8579998
12125.0,26875.0,18.74250221
12375.0,26875.0,17.84449959
12625.0,26875.0,17.002500535
12875.0,26875.0,15.431999205
13125.0,26875.0,14.32550049
13375.0,26875.0,12.779699325
13625.0,26875.0,11.880649564999999
13875.0,26875.0,10.919599535
14125.0,26875.0,10.170700075
14375.0,26875.0,9.879400255
14625.0,26875.0,9.35564995
14875.0,26875.0,9.601200105
15125.0,26875.0,10.153699875000001
15375.0,26875.0,11.441452025
15625.0,26875.0,12.994449615
15875.0,26875.0,15.106050490000001
16125.0,26875.0,17.50095177
16375.0,26875.0,19.78630257
16625.0,26875.0,20.912101744999998
16875.0,26875.0,22.392501834999997
17125.0,26875.0,25.324549675
17375.0,26875.0,28.434149740000002
17625.0,26875.0,32.023250105
17875.0,26875.0,35.617300005
18125.0,26875.0,38.812599895
18375.0,26875.0,41.473499775
18625.0,26875.0,43.232501985
18875.0,26875.0,44.766298295
19125.0,26875.0,44.623350145
19375.0,26875.0,44.4989481
19625.0,26875.0,44.240750315
19875.0,26875.0,45.833899970000004
20125.0,26875.0,52.09654975
20375.0,26875.0,105.319999695
20625.0,26875.0,110.41000368
20875.0,26875.0,113.23000338
21125.0,26875.0,111.800003075
125.0,26625.0,193.460006705
375.0,26625.0,179.19000241999998
625.0,26625.0,184.58999632
875.0,26625.0,160.13000489
1125.0,26625.0,138.479995715
1375.0,26625.0,144.460006705
1625.0,26625.0,153.050003075
1875.0,26625.0,160.52999878999998
2125.0,26625.0,169.11999511
2375.0,26625.0,176.41000368
2625.0,26625.0,180.229995715
2875.0,26625.0,187.300003075
3125.0,26625.0,193.33999632
3375.0,26625.0,159.1499939
3625.0,26625.0,133.83999632
3875.0,26625.0,119.66000368
4125.0,26625.0,120.87000277499999
4375.0,26625.0,114.069999695
